ID Comment,ID Post,User Name,Comments,Sentiments,Call Quality Issues,"Data Quality Issues (3G, 4G)",Coverage Issues,Response Time,Agent Behavior,Overcharging and Stolen Credit Issues,Billing Errors,Subscription & Plan Issues,Hidden Charges,Suggestions,Promotions & Discounts,Competitor Pricing & Value (Mobilis and Djezzy),Competitor Plan Flexibility (Mobilis and Djezzy),Competitor Data Consumption (Mobilis and Djezzy),Loyalty Expression,Service Information Request,Other
72,3,Ange Ange,نقصتو كثيرا ليجيقا وزدتو في الدراهم كنتو افعلو عروض c.est trop,Negatif,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
73,3,نو نو,كيف نخدم بتطبيق جازي,Neutre,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
74,3,Hamza Asadullah,كنتو ملاح بديتو تفسدو,Negatif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
75,3,أحمد فيراس,تم,Neutre,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
76,3,Gestion Dbms,نريد عروض جديدة,Neutre,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
77,3,Fouad Bkm,حولت شبكة izzy إلى هايلة كثيرا بالغلط اريد العودة إلى izzy ماذا افعل,Neutre,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
78,4,فاروق فاروق,جازي عام سعيد علينا وعليكم خواتي معها نقدر نعيش شكرا افضل انترنت,Positif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
79,4,Djamel Amer,اسقاس امقاز عامر خير ان شاء الله ملءه الفرح والسرور والخيرات والبركات الهما احمى وطننا من كل الشواءب والغدر والخيانة الهما امين عامر مبارك على الجميع,Positif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
80,4,Siradj Din Ben,أسقاس أمقاز ،عام سعيد ملؤه الصحة والهناء على جميع أبناء هذا الوطن ،ويا حبذا لو تكرمت شركة جازي وأهدت لزبائنها بونيس إحتفاء بهذه المناسبة,Positif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
81,4,داني نور غروس,جازي عام سعيد علينا وعليكم خواتي معها نقدر نعيش شكرا افضل انترنت,Positif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
82,4,Tarek TK,assegas amegas a vous aussi,Positif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
83,4,Sofiane Aissat,assegas amegas tous,Positif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
84,4,Mo Mahour,assegas amegas,Positif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
85,4,Naouel Messaoui,assegas amervouh inch allah,Positif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
86,4,Cheddad Kada,assegas amegas,Positif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
87,4,Nãïmø Bëdjîh,assegas amegas a djezzy,Positif,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
88,4,Ben Yac,assegas amegas,Positif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
89,4,Djaat Nadir,و نتوما ماديروش مسابقة؟,Neutre,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
90,4,Zidane Djebbari,assegas ameggaz,Positif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
91,4,Kamel Fraouti,اسقاس امقاز,Positif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
92,4,Detekl Adz Bensmail Milad,assegas amegase,Positif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
93,4,Brahimi Faiza,عام سعيد جازي,Positif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
94,4,Moh Alger,أمين يا رب,Positif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
95,4,Zara Harmel,امين يا رب,Positif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
96,4,Принц Князья,جازي افعلو هدة حسن كي شغل مسابقة ليروح يتفرج ليكيب ناسيونال في كأس إفريقيا كما جارتكم موبيلي انتم تسفادو وتفيدو المناصرين معاكم,Positif,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
97,4,ياسين ميمز - Yassine mems,و نتوما مديرولناش مسابقة ؟؟,Neutre,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
98,4,عبد الحق,عاشت الجزائر عربية مسلمة إلى الابد,Positif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
99,4,Ämïnë Mø,ما به تطبيق محبش يدخل,Negatif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
100,4,Ďøģ Māðð,تطبيقكم لا يعمل اصلحوه,Negatif,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
101,4,فيصل محمد,ياو التطبيق ما راهش يمشي من العشية,Negatif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
102,4,Aymen Aymen Minou,regler connexion pour devenir connexion comme l3bad,Negatif,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
103,4,Aoudjia Aimen,اي اصلحوا تطبيق,Negatif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
104,4,Said Sd,سعيدة جديدة سنة,Positif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
105,4,Kassa Slimani,اليوم وغدا,Neutre,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
106,5,DzMa Saleh,djezzy رخفو أرواحكم شوية افعلو لنا شيء جديدة,Neutre,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
107,5,Far OUk,على الأقل افعلو شيء جميل كيما mobilis djezzy نعرفكم تقدرولها افعلو مسابقة,Neutre,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
108,5,Ahm ED,إن شاء الله,Neutre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
109,5,Laila Meziane,inch allah,Positif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
110,5,Yasmine Djahed,واو احسن عرض فالعالم عرض مذهل بكل صراحة والله كنت حاسة بلي جازي رح تخرج بهدة بعد المنافسة القوية لي شفناها بين الشركات الأخرى برافو جازي الاصل والباقي تقليد,Positif,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
111,5,Sam Sam Ber,que du nouveau avec djezzy,Neutre,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
112,5,Viaggio Tour,وشنو هو هذا الشالنج,Neutre,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
113,5,Anis Kami,مساء النور، عندي مشكلة، الرصيد تاعي انه ينقس وحدو رغم اني ماني نعيط ما ني نشري رصيد انترنت، زوج خطرات و انا تعبئة 100دج و بعد مدة نلقاه توجور هبط وحدو إلى 11.11دج، كي كنت عاد تعبئة 1500دج ما عنديش لمشكل هذا ولا ما نفيقش، ارجو حل و شكرا,Negatif,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
114,5,Jilali Binamer,اصلاح الا شبكة وحسنو العروض فقط,Negatif,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
115,5,Sa,"واللي عنده special او confort 20, يقدر يبدل legend?",Neutre,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
116,5,Brahim Yamine,طريقة تشغيل شريحة جازي هايلة جديدة وماهي المدة لكي يطلقوها لي البائع قالي نصف ساعة ولكن لا شيء جديد,Neutre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
117,5,Chafia saadi sport dz,افعلو هدة نتوما تاني وأبعتو أنصار المنتخب الوطني الجزائري لكوديفوار لكي يضغطوا على المنافسين,Neutre,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
118,5,Abdou Khelif,immigration wela puce jdida?,Neutre,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
119,5,Safaa Amri,سقمولنا التدفق خاص ب انترنت و مبعد ابدعوا فالعروض خاص بكم لواحد تقول فالعصر الحجري 13 kb ps ؟,Negatif,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
120,5,لازهاري بن علي,لوكان تريقلو شبكة ننطمو للعرض,Negatif,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
121,5,Kamel Trad,كيف يمكن التحويل إلى عرض لي legend,Neutre,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
122,5,BLIDA fox 24,ابعتونا لكوديفوار زكارة في موبيليس,Neutre,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
123,5,Hachemi Laabaci,فيها 70 جيقا,Neutre,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
124,5,Kh Fateh,american legend,Neutre,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
125,5,Lä Přįnçěssë,djezzy app pourquoi que il arret w reseau na9s ?,Negatif,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,5,Mah Di,أي مسابقات نوض اتحرك ضحك,Neutre,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
127,5,Amel Nina,شبكة و انترنت كل ماكانش نظن نحن نفليكسو بدراهمنا ماراناش نطلبو عليكم,Negatif,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
128,6,عامر ڨرڨاط,يعطيكم الصحة جازي ربي بارك فيكم,Positif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
129,6,حمة غريب,يعطيكم صحة,Positif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
130,6,صدى الجهوي الثاني قسنطينة,عندي جازي نورمال نقدر نستفيد من العرض,Neutre,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
131,6,Abdelkader Mährez,حسن حسن جازي حسن,Positif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
132,6,Fadli Abdelkader,top,Positif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
133,6,Møhamëd Elazïzï,يعطيكم الصحة,Positif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
134,6,محمد محمد,ربي يحفظكم نتمنى عروض أفضل,Positif,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
135,6,Амин Салем,هل يمكن التحويل من جازي منفرد ؟ وشكرا.,Neutre,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
136,6,Midia Midia,خدمو وربي يوفقكم,Positif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
137,6,Amâri kánari,شريحة جازي عندها( 18) سنة هيا عندي احسن شبكة مشكورين,Positif,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
138,6,العامرة في القلب,يعطيكم الصحة,Positif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
139,6,Tahar Brague,عجبتني sui,Positif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
140,6,صدى الجهوي الثاني قسنطينة,يعطيكم صحة,Positif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
141,6,ᎥᏚᏞ ᎯᎷ,فيه خير ان شاء الله,Positif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
142,6,Gustavo Gaviria,لماذا كل مرة يجب نشرو شريحة جديدة افعلو لنا التحويل نحو العرض,Neutre,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
143,6,Gestion Dbms,انا عندي منفرد نقدر نستفيد من هذا العرض,Neutre,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
144,6,ياسين ميمز - Yassine mems,و لماذا مديروهالناش بـ20 دج فقط ؟ مجرد إقتراح,Neutre,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
145,6,Younes Bzd,نشري شريحة ب100 الف فيها 60 جيغا ماذا افعل بعروض منعرفش شيء اسمها عرض,Neutre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
146,6,Salah Boufenara,و ما كمش راح تحشموا على رواحكم و ديرونا مسابقة كما ل موبيلس ه,Neutre,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
147,6,Zizou Bouallegue,ديرونا هدة كيما موبيليس والكل يسافر إلى كوديفوار لتشجيع المنتخب,Neutre,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
148,6,رضوان رضوان,عرض 10دج ماذا فيه امتيازات,Neutre,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
149,6,Bouyazd Yazda,افعلو جاست ابعثونا للكوت ديفوار كيما دارت موبيليس,Neutre,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
150,6,Abdou Abdou,المشكل راهو في نوعية الخدمة ماشي في الكمية يعني بالدارجة 100 جيغا و الكونكسيو خردة ما ديرنا لا يوجد ملاحظة: مكان الإقامة العاصمة زعما,Negatif,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
151,6,الفتى المتواضع,مكان لا انترنت ولاهم يحزنون,Negatif,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,6,Sali Mrzk,اكبر سراقين في العالم نتوما صحاب جازي .يابن عمي بكري 12go يكفيك في شهر و ضرك تنحو في ل go. 1500 دج رجعتها 30go و كانت ب40go 20دج زعما يمدولك 60go و في الحقيقة مايفوتش شهر انتهاء . و راكم تحوسو نوالو نفليكسو 2500 دج . سراقين وتحيا mobilis,Negatif,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
153,6,Amel Nina,شبكة و انترنت كل ماكانش نظن نحن نفليكسو بدراهمنا ماراناش نطلبو عليكم,Negatif,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
154,6,Mondher Boughalem,عرض روعة لكن 100go ناقصة شوية . ديروها 120 أحسن,Positif,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
155,6,Faress Oran,سلام عليكم جازي مع كل إحترامي لكم ولكن الشبكة في حي كميل بوهران كارثية بمعنى الكلمة نحن نعاني من ضعف الشبكة ونقص في الأنترنت لدرجة شبه معدومة المهم لأي من يريد شراء شريحة جازي عليه تفكير 10 مرة قبل شرائها,Negatif,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,6,Lila Kenn,نتوما جازي اكبر سراقين فالعالم كل مانفليكسي خاص ب شهر تدوهالي في 15 يوم سراقين,Negatif,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
157,6,ßa Lim,سراقة سرق فدراهم,Negatif,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
